Word/Phrase,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,0
abound,əˈbaʊnd/ অ্যাবাউন্ড/ uh-bownd,Exist in large numbers or amounts,অনেক পরিমাণে বিদ্যমান থাকা,The book abounds with interesting observations,"A book with pages bursting into colorful thought bubbles, symbols of ideas and discoveries, clean digital art, soft background","abound in opportunities, abound in wildlife, abound with examples",
abandon (v.),əˈbændən/ অ্যাব্যানডন/ uh-ban-duhn,"Leave a place, person, or thing permanently",চিরতরে ত্যাগ করা,They had to abandon the sinking ship.,"A solitary old ship sinking in a stormy ocean, dark clouds, dramatic lighting, digital art","abandon a ship, abandon hope, abandon a project",
abandoned (adj.),əˈbændənd/ অ্যাব্যানডন্ড/ uh-ban-duhnd,Having been deserted or left,পরিত্যক্ত,The dog was found in an abandoned building.,"An old, dilapidated building overgrown with vines, eerie atmosphere, digital painting","abandoned building, abandoned vehicle, abandoned child",
ability (n.),əˈbɪləti/ অ্যাবিলিটি/ uh-bil-i-tee,Possession of the means or skill to do something,ক্ষমতা বা দক্ষতা,She has a remarkable ability to learn languages.,"A glowing brain with puzzle pieces coming together, symbolizing skill and intellect, clean vector art","athletic ability, cognitive ability, natural ability",
able (adj.),ˈeɪbl/ এইবল/ ay-buhl,"Having the power, skill, means, or opportunity to do something",সক্ষম,He is able to solve complex math problems.,"A superhero figure effortlessly lifting a heavy boulder, bright colors, comic style","able to help, fully able, able body",
"about (adv.), (prep.) ",əˈbaʊt/ অ্যাবাউট/ uh-bowt,On the subject of; concerning,সম্পর্কে / প্রায়,We talked about our future plans.,"Two silhouettes conversing with floating question marks and speech bubbles, minimal design","talk about, think about, worry about",
"above (prep.), (adv.) ",əˈbʌv/ অ্যাবাভ/ uh-buhv,In extended space over and not touching,উপরে,The birds were flying high above the clouds.,"A flock of birds soaring gracefully over a sea of fluffy white clouds, realistic digital art","above average, above the law, rise above",
abroad (adv.),əˈbrɔːd/ অ্যাব্রড/ uh-brawd,In or to a foreign country or countries,বিদেশে,He decided to study abroad for his master's.,"A globe with an airplane flying around it, travel stickers, colorful vector art","travel abroad, study abroad, live abroad",
absence (n.),ˈæbsəns/ অ্যাবসেন্স/ ab-suhns,The state of being away from a place or person,অনুপস্থিতি,Her absence was noted by the teacher.,"An empty chair at a school desk with a spotlight on it, melancholic mood, digital illustration","in the absence of, frequent absence, prolonged absence",
absent (adj.),ˈæbsənt/ অ্যাবসেন্ট/ ab-suhnt,"Not present in a place, at an occasion, or as part of something",অনুপস্থিত,He was absent from school due to illness.,"A school attendance register with a red cross next to a name, simple 2D icon style","absent from work, absent parent, notably absent",
absolute (adj.),ˈæbsəluːt/ অ্যাবসলিউট/ ab-suh-loot,Not qualified or diminished in any way; total,পরম / সম্পূর্ণ,I have absolute faith in her abilities.,"A glowing, perfect golden sphere representing completeness, dark background, 3D render","absolute power, absolute truth, absolute zero",
absolutely (adv.),ˈæbsəluːtli/ অ্যাবসলিউটলি/ ab-suh-loot-lee,"With no qualification, restriction, or limitation; totally",সম্পূর্ণরূপে,You are absolutely right about this.,"A large, vibrant green checkmark glowing with sparks, modern 3D design","absolutely necessary, absolutely sure, absolutely clear",
absorb (v.),əbˈzɔːrb/ অ্যাবজর্ব/ uhb-zawrb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action,শোষণ করা,Sponges absorb water easily.,"A yellow sponge soaking up a puddle of glowing blue water, hyper-realistic macro shot","absorb water, absorb information, absorb shock",
"abuse (n.), (v.) ",əˈbjuːz/ অ্যাবিউজ/ uh-byooz,Use (something) to bad effect or for a bad purpose,অপব্যবহার / গালাগাল করা,He was arrested for drug abuse.,"A shattered glass shield symbolizing broken trust, dark and moody conceptual art","drug abuse, child abuse, verbal abuse",
academic (adj.),ˌækəˈdɛmɪk/ অ্যাকাডেমিক/ ak-uh-dem-ik,Relating to education and scholarship,শিক্ষাগত,She has a strong academic background.,"A graduation cap resting on a stack of thick books, warm library lighting, digital art","academic year, academic performance, academic achievement",
accent (n.),ˈæksɛnt/ অ্যাকসেন্ট/ ak-sent,A distinctive mode of pronunciation of a language,উচ্চারণভঙ্গি,He speaks English with a strong French accent.,"A pair of lips speaking with musical notes and flags of different countries floating out, pop art style","strong accent, foreign accent, thick accent",
accept (v.),əkˈsɛpt/ অ্যাকসেপ্ট/ ak-sept,Consent to receive (a thing offered),গ্রহণ করা,I am happy to accept your invitation.,"Two hands shaking warmly, glowing golden light in the background, symbol of agreement","accept an offer, accept responsibility, accept a challenge",
acceptable (adj.),əkˈsɛptəbl/ অ্যাকসেপ্টেবল/ ak-sep-tuh-buhl,Able to be agreed on; suitable,গ্রহণযোগ্য,This level of performance is not acceptable.,"A stamped document with the word APPROVED in bright green ink, flat vector style","socially acceptable, perfectly acceptable, mutually acceptable",
access (n.),ˈæksɛs/ অ্যাকসেস/ ak-ses,The means or opportunity to approach or enter a place,প্রবেশাধিকার,The building has wheelchair access.,"A glowing digital key unlocking a secure holographic door, cyber-tech style","internet access, gain access, deny access",
accident (n.),ˈæksɪdənt/ অ্যাকসিডেন্ট/ ak-si-duhnt,An unfortunate incident that happens unexpectedly and unintentionally,দুর্ঘটনা,He was injured in a car accident.,"Two toy cars crashed on a tabletop, hazard tape around them, macro photography","car accident, fatal accident, tragic accident",
