Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
"chairman, chairwoman",(n.),Everyday environments & spaces,The family home,ˈtʃeəmən/ চেয়ারম্যান/ chair-man,The person in charge of a meeting or organization,সভাপতি / চেয়ারম্যান,The chairman opened the annual board meeting.,"A formal boardroom with a person sitting at the head of a long table, professional setting, realistic illustration","board chairman, acting chairman, chairman of the committee, elect a chairman","chair, president, head, director","subordinate, member"
flat,"(adj.), (n.)",Everyday environments & spaces,The family home,flæt/ ফ্ল্যাট/ flat,Level and smooth; also a set of rooms on one floor used as a home,সমতল / ফ্ল্যাট (বাসস্থান),She rented a small flat near the university.,"A cozy apartment interior with a window view of the city, warm lighting, realistic digital art","flat roof, flat rate, rent a flat, ground-floor flat","apartment, level, even, smooth","hilly, uneven"
key,"(n.), (adj.)",Everyday environments & spaces,The family home,kiː/ কি/ kee,A metal instrument for locking/unlocking; most important,চাবি / গুরুত্বপূর্ণ,He lost the key to his house.,"A shiny metal key lying on a wooden table, close-up, realistic photo style","key role, key factor, spare key, master key","essential, crucial, vital, core","minor, trivial"
light,"(n.), (adj.), (v.)",Everyday environments & spaces,The family home,laɪt/ লাইট/ lyte,Brightness; not heavy; to ignite,আলো / হালকা / জ্বালানো,She turned on the light before reading.,"A warm lamp glowing in a dark cozy room, soft light beams, atmospheric digital painting","bright light, natural light, light up, street light","illuminate, bright, glow, radiance","dark, heavy"
lock,"(v.), (n.)",Everyday environments & spaces,The family home,lɒk/ লক/ lok,To fasten with a key; a device for securing doors,তালা দেওয়া / তালা,Always lock the door when you leave the house.,"A close-up of a hand turning a key in a door lock, realistic photo","lock the door, under lock and key, lock away, combination lock","secure, bolt, fasten, seal","unlock, open"
paint,"(n.), (v.)",Everyday environments & spaces,The family home,peɪnt/ পেইন্ট/ paynt,A colored liquid applied to surfaces; to apply such liquid,রং / রং করা,They painted the walls blue.,"A painter holding a brush applying blue paint to a wall, colorful room, realistic illustration","oil paint, paint a picture, fresh paint, paint over","coat, colour, pigment, dye","strip, remove"
photograph,"(n.), (v.)",Everyday environments & spaces,The family home,ˈfəʊtəɡrɑːf/ ফটোগ্রাফ/ foh-tuh-graf,A picture taken with a camera; to take a picture,ছবি / ফটোগ্রাফ,She took a photograph of the sunset.,"A person holding a camera, photographing a stunning orange sunset over the ocean, realistic","take a photograph, black-and-white photograph, wedding photograph, photograph album","picture, image, snapshot, shot",
rent,"(n.), (v.)",Everyday environments & spaces,The family home,rent/ রেন্ট/ rent,Payment for use of property; to pay for or let property,ভাড়া / ভাড়া দেওয়া,He pays rent every month for his apartment.,"A person handing over cash to a landlord in front of an apartment building, realistic illustration","monthly rent, rent out, pay rent, rent increase","lease, hire, payment, fee","own, buy"
repair,"(v.), (n.)",Everyday environments & spaces,The family home,rɪˈpeə(r)/ রিপেয়ার/ ri-pair,To fix something that is damaged; the act of fixing,মেরামত করা / মেরামত,The mechanic repaired the car engine.,"A mechanic working under a car hood in a garage, tools nearby, realistic photo style","repair work, under repair, carry out repairs, repair shop","fix, mend, restore, patch","break, damage"
switch,"(n.), (v.)",Everyday environments & spaces,The family home,swɪtʃ/ সুইচ/ swich,A device for turning on/off; to change from one thing to another,সুইচ / পরিবর্তন করা,She flipped the switch to turn on the fan.,"A finger pressing a light switch on a wall, simple clean close-up illustration","light switch, switch off, switch over, switch sides","change, toggle, swap, exchange","keep, maintain"
