word,sentence,sentence bangla,phrase,definition,list,type,ipa,pronunciation,bangla_pronunciation,synonyms,antonyms,bangla_meaning,Collocations,Collocations Bangla
abase,The loyal guard knelt before the princess in self-abasement.,অনুগত প্রহরীটি রাজকন্যার সামনে বিনম্রভাবে নতজানু হলো।,Knelt in self abasement,To make someone or yourself seem to be less important,3000,verb,əˈbeɪs,uh-BAYS,অ·বএইস,"degrade, humiliate, demean, humble, debase","exalt, elevate, honor",অবমানিত বা হীন করা,"[
{
""phrase"": ""abase oneself"",
""example_sentence"": ""He refused to abase himself by apologizing for something he did not do.""
},
{
""phrase"": ""abase dignity"",
""example_sentence"": ""The corrupt practices continued to abase the dignity of the institution.""
},
{
""phrase"": ""abase reputation"",
""example_sentence"": ""False accusations were used to abase his reputation in the community.""
}
]","[
{
""phrase"": ""নিজেকে ছোট করা"",
""example_sentence"": ""সে এমন কিছুর জন্য ক্ষমা চেয়ে নিজেকে ছোট করা ঠিক মনে করেনি যা সে করেনি।""
},
{
""phrase"": ""মর্যাদা ক্ষুণ্ণ করা"",
""example_sentence"": ""দুর্নীতিগ্রস্ত চর্চাগুলো প্রতিষ্ঠানের মর্যাদা ক্ষুণ্ণ করা অব্যাহত রেখেছিল।""
},
{
""phrase"": ""সুনাম নষ্ট করা"",
""example_sentence"": ""সমাজে তার সুনাম নষ্ট করা হয়েছিল মিথ্যা অভিযোগ ব্যবহার করে।""
}
]"
abash,The cowboy was left abashed by constant mockery.,ক্রমাগত উপহাসে কাউবয়টি লজ্জিত হয়ে পড়ল।,Looking abashed,Make someone feel embarassed or ashamed,3000,verb,əˈbæʃ,uhb-ASH,অব·অ্যাশ,"embarrass, disconcert, mortify, shame, fluster","embolden, reassure, encourage",লজ্জিত বা বিব্রত করা,"[
{
""phrase"": ""feel abashed"",
""example_sentence"": ""He felt abashed after forgetting his lines during the presentation.""
},
{
""phrase"": ""look abashed"",
""example_sentence"": ""She looked abashed when her mistake was pointed out in front of everyone.""
},
{
""phrase"": ""abash someone"",
""example_sentence"": ""The teacher’s stern words did not abash the confident student.""
}
]","[
{
""phrase"": ""লজ্জিত বোধ করা"",
""example_sentence"": ""উপস্থাপনার সময় তার লাইন ভুলে যাওয়ার পর তার লজ্জিত বোধ করা স্পষ্ট ছিল।""
},
{
""phrase"": ""লজ্জিত দেখানো"",
""example_sentence"": ""সবার সামনে তার ভুল ধরিয়ে দিলে তাকে লজ্জিত দেখানো স্বাভাবিক ছিল।""
},
{
""phrase"": ""কাউকে লজ্জিত করা"",
""example_sentence"": ""শিক্ষকের কঠোর কথাগুলোর উদ্দেশ্য কাউকে লজ্জিত করা হলেও আত্মবিশ্বাসী ছাত্রটিকে তা টলাতে পারেনি।""
}
]"
abate,The stock price rise has started to abate today.,আজ শেয়ারের দাম বাড়ার গতি কমতে শুরু করেছে।,Started to abate,To become less strong,333,verb,əˈbeɪt,uhb-AYT,অব·এইট,"diminish, reduce, subside, lessen, wane","intensify, increase, amplify",দুর্বল বা কম হওয়া,"[
{
""phrase"": ""abate pain"",
""example_sentence"": ""The doctor prescribed medication to abate the patient's pain after surgery.""
},
{
""phrase"": ""abate fears"",
""example_sentence"": ""The government's quick response helped to abate public fears during the crisis.""
},
{
""phrase"": ""abate storm"",
""example_sentence"": ""The winds began to abate as the storm moved out to sea.""
}
]","[
{
""phrase"": ""ব্যথা কমানো"",
""example_sentence"": ""অস্ত্রোপচারের পর রোগীর ব্যথা কমানো নিশ্চিত করার জন্য ডাক্তার ওষুধ লিখে দিয়েছিলেন।""
},
{
""phrase"": ""ভয় কমানো"",
""example_sentence"": ""সরকারের দ্রুত পদক্ষেপ সংকটের সময় জনগণের ভয় কমানো সম্ভব করেছিল।""
},
{
""phrase"": ""ঝড় কমা"",
""example_sentence"": ""সমুদ্রের দিকে সরে যাওয়ার সাথে সাথে ঝড় কমা শুরু হয়েছিল।""
}
]"
abbreviate,CEO is probably the most popular abbreviated designation.,সিইও সম্ভবত সবচেয়ে জনপ্রিয় সংক্ষিপ্ত পদবি।,Abbreviated designation,To make a word or phrase shorter by using only the first letters of each word,3000,verb,əˈbriviˌeɪt,uhb-REEV-ee-ayt,অব·রইভ·ই·এইট,"shorten, condense, abridge, truncate, curtail","extend, expand, lengthen",সংক্ষিপ্ত করা,"[
{
""phrase"": ""abbreviate a word"",
""example_sentence"": ""In texts and notes, people often abbreviate a word to save time.""
},
{
""phrase"": ""abbreviate a name"",
""example_sentence"": ""She chose to abbreviate her name on social media for simplicity.""
},
{
""phrase"": ""abbreviate a phrase"",
""example_sentence"": ""Journalists sometimes abbreviate a phrase to fit headlines.""
}
]","[
{
""phrase"": ""শব্দ সংক্ষেপ করা"",
""example_sentence"": ""টেক্সট এবং নোটে, মানুষ প্রায়ই সময় বাঁচাতে শব্দ সংক্ষেপ করা পছন্দ করে।""
},
{
""phrase"": ""নাম সংক্ষেপ করা"",
""example_sentence"": ""সে সরলতার জন্য সোশ্যাল মিডিয়ায় তার নাম সংক্ষেপ করা বেছে নিয়েছিল।""
},
{
""phrase"": ""বাক্যাংশ সংক্ষেপ করা"",
""example_sentence"": ""সাংবাদিকরা কখনও কখনও শিরোনামের সাথে মানানসই করার জন্য বাক্যাংশ সংক্ষেপ করা প্রয়োজন মনে করেন।""
}
]"
abdicate,Pope Benedict stunned the world with his abdication.,পোপ বেনেডিক্ট তাঁর পদত্যাগের মাধ্যমে বিশ্বকে হতবাক করে দিয়েছিলেন।,Abdicate the throne,Give up throne or authority willingly,800,verb,ˈæbdəˌkeɪt,AB-duhk-ayt,অ্যাব·ডঅক·এইট,"relinquish, renounce, forsake, resign, cede","claim, assume, retain",স্বেচ্ছায় ক্ষমতা ত্যাগ করা,"[
{
""phrase"": ""abdicate the throne"",
""example_sentence"": ""The king decided to abdicate the throne after years of unrest.""
},
{
""phrase"": ""abdicate responsibility"",
""example_sentence"": ""A leader should not abdicate responsibility in a crisis.""
},
{
""phrase"": ""abdicate power"",
""example_sentence"": ""The ruler refused to abdicate power peacefully.""
}
]","[
{
""phrase"": ""সিংহাসন ত্যাগ করা"",
""example_sentence"": ""বছরের পর বছর অস্থিরতার পর রাজার সিংহাসন ত্যাগ করা একটি কঠিন সিদ্ধান্ত ছিল।""
},
{
""phrase"": ""দায়িত্ব এড়ানো"",
""example_sentence"": ""সংকটের সময় একজন নেতার দায়িত্ব এড়ানো উচিত নয়।""
},
{
""phrase"": ""ক্ষমতা ত্যাগ করা"",
""example_sentence"": ""শাসক শান্তিপূর্ণভাবে ক্ষমতা ত্যাগ করা অস্বীকার করেছিল।""
}
]"
aberrant,The snake of some aberrant species was taken to the zoo.,কোনো এক অস্বাভাবিক প্রজাতির সাপকে চিড়িয়াখানায় নিয়ে যাওয়া হয়েছিল।,Aberrant occurrence,"Different from usual, in an unacceptable way",333,adjective,æˈbɛrənt,ab-EHR-uhnt,অ্যাব·এর·অনট,"deviant, abnormal, anomalous, atypical, irregular","normal, typical, conventional",অস্বাভাবিক বা অগ্রহণযোগ্য,"[
{
""phrase"": ""aberrant behavior"",
""example_sentence"": ""The doctor studied the child’s aberrant behavior carefully.""
},
{
""phrase"": ""aberrant gene"",
""example_sentence"": ""Researchers identified an aberrant gene in the sample.""
},
{
""phrase"": ""aberrant pattern"",
""example_sentence"": ""The scan revealed an aberrant pattern in the data.""
}
]","[
{
""phrase"": ""অস্বাভাবিক আচরণ"",
""example_sentence"": ""ডাক্তার শিশুটির অস্বাভাবিক আচরণ মনোযোগ সহকারে অধ্যয়ন করেছিলেন।""
},
{
""phrase"": ""অস্বাভাবিক জিন"",
""example_sentence"": ""গবেষকরা নমুনায় একটি অস্বাভাবিক জিন সনাক্ত করেছেন।""
},
{
""phrase"": ""অস্বাভাবিক ধরন"",
""example_sentence"": ""স্ক্যানটি ডেটাতে একটি অস্বাভাবিক ধরন প্রকাশ করেছে।""
}
]"
aberration,Spherical aberration of lens prevents proper focussing of light.,লেন্সের গোলকীয় অপেরণ আলোর সঠিক ফোকাসিং-এ বাধা দেয়।,Spherical aberration,"A departure from what is normal, usual or expected",3000,noun,ˌæbərˈeɪʃən,ab-ur-AYSH-uhn,অ্যাব·আর·এইশ·অন,"anomaly, deviation, irregularity, abnormality, oddity","norm, standard, conformity",স্বাভাবিক থেকে বিচ্যুতি,"[
{
""phrase"": ""rare aberration"",
""example_sentence"": ""The mistake was a rare aberration in an otherwise strong year.""
},
{
""phrase"": ""genetic aberration"",
""example_sentence"": ""The illness was linked to a genetic aberration.""
},
{
""phrase"": ""temporary aberration"",
""example_sentence"": ""They hoped the poor result was only a temporary aberration.""
}
]","[
{
""phrase"": ""বিরল বিচ্যুতি"",
""example_sentence"": ""ভুলটি অন্যথায় একটি শক্তিশালী বছরে একটি বিরল বিচ্যুতি ছিল।""
},
{
""phrase"": ""জিনগত বিচ্যুতি"",
""example_sentence"": ""অসুস্থতাটি একটি জিনগত বিচ্যুতি এর সাথে যুক্ত ছিল।""
},
{
""phrase"": ""অস্থায়ী বিচ্যুতি"",
""example_sentence"": ""তারা আশা করেছিল যে খারাপ ফলাফলটি কেবল একটি অস্থায়ী বিচ্যুতি ছিল।""
}
]"
abet,The homicide was definitely abetted by someone local.,"এই হত্যাকাণ্ডে স্থানীয় কোনো ব্যক্তির প্ররোচনা ছিল, এটা নিশ্চিত।",Aiding and abetting,To help or encourage someone to do something wrong or illegal,3000,verb,əˈbɛt,uhb-EHT,অব·এট,"aid, assist, support, encourage, facilitate","hinder, obstruct, deter",অন্যায়কাজে সাহায্য করা,"[
{
""phrase"": ""abet a crime"",
""example_sentence"": ""No one should abet a crime by staying silent.""
},
{
""phrase"": ""abet the thief"",
""example_sentence"": ""He refused to abet the thief in any way.""
},
{
""phrase"": ""knowingly abet"",
""example_sentence"": ""The law punishes anyone who knowingly abets fraud.""
}
]","[
{
""phrase"": ""অপরাধে মদদ দেওয়া"",
""example_sentence"": ""চুপ থেকে কারও অপরাধে মদদ দেওয়া উচিত নয়।""
},
{
""phrase"": ""চোরকে সাহায্য করা"",
""example_sentence"": ""সে কোনোভাবেই চোরকে সাহায্য করা থেকে বিরত ছিল।""
},
{
""phrase"": ""জেনেশুনে মদদ দেওয়া"",
""example_sentence"": ""যে প্রতারণায় জেনেশুনে মদদ দেওয়া অপরাধ করে আইন তাকে শাস্তি দেয়।""
}
]"
abeyance,The activity on border were held in abeyance during ceasefire.,যুদ্ধবিরতি চলাকালীন সীমান্তে কার্যক্রম স্থগিত রাখা হয়েছিল।,Held in abeyance,A state of temporary disuse or inactivity,333,noun,əˈbeɪəns,uhb-AY-uhns,অব·এই·অনস,"suspension, dormancy, inactivity, postponement, latency","activity, operation, continuance",সাময়িক নিষ্ক্রিয়তার অবস্থা,"[
{
""phrase"": ""hold in abeyance"",
""example_sentence"": ""The committee agreed to hold the proposal in abeyance for now.""
},
{
""phrase"": ""remain in abeyance"",
""example_sentence"": ""The project remained in abeyance during the funding freeze.""
},
{
""phrase"": ""keep in abeyance"",
""example_sentence"": ""They decided to keep the issue in abeyance until next month.""
}
]","[
{
""phrase"": ""স্থগিত রাখা"",
""example_sentence"": ""কমিটি আপাতত প্রস্তাবটি স্থগিত রাখা বিষয়ে সম্মত হয়েছে।""
},
{
""phrase"": ""স্থগিত থাকা"",
""example_sentence"": ""তহবিল স্থগিত থাকার সময় প্রকল্পটি স্থগিত থাকা অবস্থায় ছিল।""
},
{
""phrase"": ""স্থগিত রাখা"",
""example_sentence"": ""তারা আগামী মাস পর্যন্ত বিষয়টি স্থগিত রাখা স্থির করেছে।""
}
]"
abhor,I abhor all kinds of racism.,আমি সব ধরনের বর্ণবাদকে ঘৃণা করি।,Abhor racism,"To hate a way of behaving or thinking, often because you think it is not moral",3000,verb,æˈbhɔr,ab-HAWR,অ্যাব·হঅর,"detest, loathe, despise, abominate, execrate","adore, love, cherish",ঘৃণা করা,"[
{
""phrase"": ""abhor violence"",
""example_sentence"": ""She has always abhorred violence in any form.""
},
{
""phrase"": ""abhor cruelty"",
""example_sentence"": ""Most people abhor cruelty to animals.""
},
{
""phrase"": ""deeply abhor"",
""example_sentence"": ""I deeply abhor dishonest behavior in public office.""
}
]","[
{
""phrase"": ""সহিংসতা ঘৃণা করা"",
""example_sentence"": ""তার যেকোনো ধরনের সহিংসতা ঘৃণা করা স্বভাব।""
},
{
""phrase"": ""নিষ্ঠুরতা ঘৃণা করা"",
""example_sentence"": ""বেশিরভাগ মানুষের প্রাণীদের প্রতি নিষ্ঠুরতা ঘৃণা করা উচিত।""
},
{
""phrase"": ""গভীরভাবে ঘৃণা করা"",
""example_sentence"": ""আমি সরকারি অফিসে অসৎ আচরণ গভীরভাবে ঘৃণা করা সমীচীন মনে করি।""
}
]"
