Type,Phrase,Pronunciation,Sounds_Like,Bangla_Pronunciation,Meaning,Bangla_Meaning,Collocations,Bangla Collocation,Synonyms,Antonyms,CEFR_Level,Learner_Sublist,example sentence,Bangla example sentence,image prompt related to the example sentence,example sentence (3 sentences in an array)
Phrasal Verb,bring up,/brɪŋ ʌp/,BRING up,ব্রিং আপ,To mention or introduce a topic in conversation,কথোপকথনে কোনো বিষয় উল্লেখ বা পরিচয় করানো,"[{""phrase"": ""bring up a topic"", ""example_sentence"": ""You can bring up a topic in everyday situations.""}, {""phrase"": ""bring up an issue"", ""example_sentence"": ""Workers often bring up an issue during a busy day.""}, {""phrase"": ""bring up a question"", ""example_sentence"": ""Students should learn to bring up a question when it is useful.""}]","[{""phrase"": ""একটি বিষয় পরিচয় করানো"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি বিষয় পরিচয় করানো অনুশীলন করে।""}, {""phrase"": ""একটি সমস্যা পরিচয় করানো"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি সমস্যা পরিচয় করানো অনুশীলন করে।""}, {""phrase"": ""একটি প্রশ্ন পরিচয় করানো"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি প্রশ্ন পরিচয় করানো অনুশীলন করে।""}]",mention; raise; introduce; refer to,avoid mentioning; keep quiet about; hide; suppress,A2,01 - Communication & Discussion,"At dinner, Mia had to bring up the summer travel plan while the family was eating together.","রাতের খাবারের সময়, মিয়াকে কথোপকথনে পরিবার একসঙ্গে খাওয়ার সময় গ্রীষ্মের ভ্রমণ পরিকল্পনাটি উল্লেখ বা পরিচয় করানো প্রয়োজন হয়েছিল।","family dinner table in a warm kitchen, one person speaking about plans while others listen. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Please bring up the budget issue today."", ""Daniel wanted to bring up the class trip at lunch."", ""The teacher asked us to bring up one more point.""]"
Phrasal Verb,figure out,/fɪɡjɚ aʊt/,FIG-yer out,ফিগার আউট,To understand or solve something after thinking about it,ভেবে কোনো কিছু বোঝা বা সমাধান করা,"[{""phrase"": ""figure out the answer"", ""example_sentence"": ""You can figure out the answer in everyday situations.""}, {""phrase"": ""figure out a solution"", ""example_sentence"": ""Workers often figure out a solution during a busy day.""}, {""phrase"": ""figure out the problem"", ""example_sentence"": ""Students should learn to figure out the problem when it is useful.""}]","[{""phrase"": ""উত্তরটি সমাধান করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে উত্তরটি সমাধান করা অনুশীলন করে।""}, {""phrase"": ""একটি সমাধান সমাধান করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি সমাধান সমাধান করা অনুশীলন করে।""}, {""phrase"": ""সমস্যাটি সমাধান করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সমস্যাটি সমাধান করা অনুশীলন করে।""}]",understand; work out; solve; make sense of,misunderstand; miss the point; fail to solve,A2,"02 - Thinking, Learning & Understanding","At her desk, Daniel had to figure out why the printer kept stopping before the report was due.","নিজের ডেস্কে, ড্যানিয়েলকে ভেবে রিপোর্ট জমা দেওয়ার আগে প্রিন্টারটি কেন বারবার বন্ধ হচ্ছিল বোঝা বা সমাধান করা প্রয়োজন হয়েছিল।","office desk with computer, stopped printer, young professional thinking and checking documents. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Aisha tried to figure out the last question alone."", ""We need to figure out why the app keeps freezing."", ""Lucas could not figure out the map until sunset.""]"
Phrasal Verb,look forward to,/lʊk fɔrwɚd tu/,LOOK FOR-werd too,লুক ফরওয়ার্ড টু,To feel excited or positive about something in the future,ভবিষ্যতের কোনো বিষয় নিয়ে আনন্দিত বা ইতিবাচক অনুভব করা,"[{""phrase"": ""look forward to the weekend"", ""example_sentence"": ""You can look forward to the weekend in everyday situations.""}, {""phrase"": ""look forward to the meeting"", ""example_sentence"": ""Workers often look forward to the meeting during a busy day.""}, {""phrase"": ""look forward to the trip"", ""example_sentence"": ""Students should learn to look forward to the trip when it is useful.""}]","[{""phrase"": ""সপ্তাহান্তটি ইতিবাচক অনুভব করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সপ্তাহান্তটি ইতিবাচক অনুভব করা অনুশীলন করে।""}, {""phrase"": ""মিটিংটি ইতিবাচক অনুভব করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে মিটিংটি ইতিবাচক অনুভব করা অনুশীলন করে।""}, {""phrase"": ""ভ্রমণটি ইতিবাচক অনুভব করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে ভ্রমণটি ইতিবাচক অনুভব করা অনুশীলন করে।""}]",anticipate; be eager for; await happily,dread; be anxious about; feel indifferent to,B1,"09 - Relationships, Feelings & Daily Life",Maya is looking forward to the school concert next Friday.,মায়া আগামী শুক্রবারের স্কুল কনসার্টের জন্য অধীর আগ্রহে অপেক্ষা করছে।,"Teenager in a tidy bedroom smiling at a wall calendar with the school concert date circled, music notes and a backpack nearby, warm natural light, realistic photography.","[""I look forward to our class trip every spring."", ""They are looking forward to the training day next week."", ""Sam is really looking forward to the holiday break.""]"
Phrasal Verb,carry on,/kæri ɑn/,CARRY on,ক্যারি অন,To continue doing something,কোনো কাজ চালিয়ে যাওয়া,"[{""phrase"": ""carry on on time"", ""example_sentence"": ""The team tried to carry on on time so the schedule stayed clear.""}, {""phrase"": ""carry on during the project"", ""example_sentence"": ""Things may carry on during the project when the workload increases.""}, {""phrase"": ""carry on without delay"", ""example_sentence"": ""Everyone was ready to carry on without delay after the announcement.""}]","[{""phrase"": ""সময়মতো কোনো কাজ চালিয়ে যাওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়মতো কোনো কাজ চালিয়ে যাওয়া অনুশীলন করে।""}, {""phrase"": ""প্রকল্প চলাকালে কোনো কাজ চালিয়ে যাওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্রকল্প চলাকালে কোনো কাজ চালিয়ে যাওয়া অনুশীলন করে।""}, {""phrase"": ""দেরি না করে কোনো কাজ চালিয়ে যাওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে দেরি না করে কোনো কাজ চালিয়ে যাওয়া অনুশীলন করে।""}]",continue; keep going; proceed; persist,stop; quit; give up; discontinue,A2,"05 - Time, Scheduling & Process","After the power cut, Lucas decided to carry on with the report.","বিদ্যুৎ চলে যাওয়ার পর, লুকাস রিপোর্টটি চালিয়ে যাওয়ার সিদ্ধান্ত নিয়েছিল।","office worker using a laptop near a window, continuing work after a brief outage. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Please carry on with your reading."", ""The workers carry on after the short break."", ""Ethan had to carry on despite the noise.""]"
Phrasal Verb,give up,/ɡɪv ʌp/,GIV up,গিভ আপ,To stop trying; to quit,চেষ্টা করা বন্ধ করা; ছেড়ে দেওয়া,"[{""phrase"": ""give up smoking"", ""example_sentence"": ""You can give up smoking in everyday situations.""}, {""phrase"": ""give up hope"", ""example_sentence"": ""Workers often give up hope during a busy day.""}, {""phrase"": ""give up the old plan"", ""example_sentence"": ""Students should learn to give up the old plan when it is useful.""}]","[{""phrase"": ""smoking চেষ্টা করা বন্ধ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে smoking চেষ্টা করা বন্ধ করা অনুশীলন করে।""}, {""phrase"": ""hope চেষ্টা করা বন্ধ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে hope চেষ্টা করা বন্ধ করা অনুশীলন করে।""}, {""phrase"": ""পুরোনো পরিকল্পনা চেষ্টা করা বন্ধ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে পুরোনো পরিকল্পনা চেষ্টা করা বন্ধ করা অনুশীলন করে।""}]",quit; stop trying; surrender; abandon,persist; keep trying; carry on; persevere,A2,"07 - Problems, Difficulty & Risk","After two hours, Sofia had to give up because it was not working.","দুই ঘণ্টা পর, সোফিয়াকে কারণ সেটি কাজ করছিল না চেষ্টা করা বন্ধ করা বা ছেড়ে দেওয়া প্রয়োজন হয়েছিল।","person in a garage looking tired beside a broken bicycle and tools. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""After an hour, Ethan decided to give up."", ""Do not give up before you check the answer again."", ""The team refused to give up even after the setback.""]"
Phrasal Verb,put off,/pʊt ɔf/,PUT AWF,পুট অফ,To postpone or delay something,কোনো কিছু স্থগিত বা বিলম্বিত করা,"[{""phrase"": ""put off the meeting"", ""example_sentence"": ""You can put off the meeting in everyday situations.""}, {""phrase"": ""put off the decision"", ""example_sentence"": ""Workers often put off the decision during a busy day.""}, {""phrase"": ""put off the trip"", ""example_sentence"": ""Students should learn to put off the trip when it is useful.""}]","[{""phrase"": ""মিটিংটি বিলম্বিত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে মিটিংটি বিলম্বিত করা অনুশীলন করে।""}, {""phrase"": ""সিদ্ধান্তটি বিলম্বিত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সিদ্ধান্তটি বিলম্বিত করা অনুশীলন করে।""}, {""phrase"": ""ভ্রমণটি বিলম্বিত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে ভ্রমণটি বিলম্বিত করা অনুশীলন করে।""}]",postpone; delay; defer; push back,do now; bring forward; move up; deal with immediately,A2,"05 - Time, Scheduling & Process","After the train strike, Ethan decided to put off the trip until next weekend.","ট্রেন ধর্মঘটের পর, ইথান ভ্রমণটি আগামী সপ্তাহান্ত পর্যন্ত স্থগিত বা বিলম্বিত করার সিদ্ধান্ত নিয়েছিল।","travelers at a station looking at delayed schedule board and adjusting plans. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""We had to put off the match because of the rain."", ""Lina will put off the meeting until Tuesday."", ""They chose to put off the trip for one week.""]"
Phrasal Verb,take on,/teɪk ɑn/,TAYK on,টেইক অন,To accept responsibility for a task or challenge,কোনো কাজ বা চ্যালেঞ্জের দায়িত্ব গ্রহণ করা,"[{""phrase"": ""take on a new role"", ""example_sentence"": ""You can take on a new role in everyday situations.""}, {""phrase"": ""take on extra work"", ""example_sentence"": ""Workers often take on extra work during a busy day.""}, {""phrase"": ""take on a difficult task"", ""example_sentence"": ""Students should learn to take on a difficult task when it is useful.""}]","[{""phrase"": ""একটি নতুন দায়িত্ব চ্যালেঞ্জের দায়িত্ব গ্রহণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি নতুন দায়িত্ব চ্যালেঞ্জের দায়িত্ব গ্রহণ করা অনুশীলন করে।""}, {""phrase"": ""অতিরিক্ত কাজ চ্যালেঞ্জের দায়িত্ব গ্রহণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে অতিরিক্ত কাজ চ্যালেঞ্জের দায়িত্ব গ্রহণ করা অনুশীলন করে।""}, {""phrase"": ""একটি কঠিন কাজ চ্যালেঞ্জের দায়িত্ব গ্রহণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি কঠিন কাজ চ্যালেঞ্জের দায়িত্ব গ্রহণ করা অনুশীলন করে।""}]",accept; undertake; assume responsibility; confront,refuse; reject; avoid; pass on,A2,"04 - Work, Responsibility & Productivity","When the manager got sick, Nina had to take on extra duties for the rest of the week.","ম্যানেজার অসুস্থ হলে, নিনাকে সপ্তাহের বাকি সময়ের জন্য অতিরিক্ত দায়িত্ব দায়িত্ব গ্রহণ করা প্রয়োজন হয়েছিল।","Busy office scene with a young professional taking on extra tasks, open laptop, printed schedules, coworkers asking questions, realistic workplace lighting.","[""She did not want to take on another late shift."", ""Our team can take on two new clients this month."", ""He was ready to take on more responsibility at work.""]"
Phrasal Verb,come up with,/kʌm ʌp wɪð/,KUM up with,কাম আপ উইথ,To produce or think of an idea or plan,কোনো ধারণা বা পরিকল্পনা তৈরি করা বা ভাবা,"[{""phrase"": ""come up with a plan"", ""example_sentence"": ""You can come up with a plan in everyday situations.""}, {""phrase"": ""come up with a solution"", ""example_sentence"": ""Workers often come up with a solution during a busy day.""}, {""phrase"": ""come up with a new idea"", ""example_sentence"": ""Students should learn to come up with a new idea when it is useful.""}]","[{""phrase"": ""একটি পরিকল্পনা পরিকল্পনা তৈরি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি পরিকল্পনা পরিকল্পনা তৈরি করা অনুশীলন করে।""}, {""phrase"": ""একটি সমাধান পরিকল্পনা তৈরি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি সমাধান পরিকল্পনা তৈরি করা অনুশীলন করে।""}, {""phrase"": ""একটি নতুন ধারণা পরিকল্পনা তৈরি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি নতুন ধারণা পরিকল্পনা তৈরি করা অনুশীলন করে।""}]",think of; devise; invent; produce,copy; fail to produce; run out of ideas,B1,"03 - Plans, Decisions & Strategy","During the day, Omar had to come up with.","দিনের মধ্যে, ওমরকে কোনো ধারণা বা পরিকল্পনা তৈরি করা বা ভাবা প্রয়োজন হয়েছিল।","realistic daily-life scene matching the sentence, natural lighting, candid photography. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Chloe had to come up with before lunch."", ""We decided to come up with during the meeting."", ""They want to come up with this week.""]"
Phrasal Verb,go over,/ɡoʊ oʊvɚ/,GOH oh-ver,গো ওভার,To review or examine something carefully,কোনো কিছু মনোযোগ দিয়ে পর্যালোচনা বা পরীক্ষা করা,"[{""phrase"": ""go over the notes"", ""example_sentence"": ""You can go over the notes in everyday situations.""}, {""phrase"": ""go over the report"", ""example_sentence"": ""Workers often go over the report during a busy day.""}, {""phrase"": ""go over the details"", ""example_sentence"": ""Students should learn to go over the details when it is useful.""}]","[{""phrase"": ""notes পরীক্ষা করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে notes পরীক্ষা করা অনুশীলন করে।""}, {""phrase"": ""রিপোর্টটি পরীক্ষা করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে রিপোর্টটি পরীক্ষা করা অনুশীলন করে।""}, {""phrase"": ""বিস্তারিত বিষয়গুলো পরীক্ষা করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে বিস্তারিত বিষয়গুলো পরীক্ষা করা অনুশীলন করে।""}]",review; examine; check; look through,skip; ignore; overlook,A2,"02 - Thinking, Learning & Understanding","In the library, Chloe had to go over the last math problem before the study group ended.","লাইব্রেরিতে, ক্লোইকে স্টাডি গ্রুপ শেষ হওয়ার আগে শেষ গণিত সমস্যাটি মনোযোগ দিয়ে পর্যালোচনা বা পরীক্ষা করা প্রয়োজন হয়েছিল।","quiet library table with books, notebook, calculator, student concentrating. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Hassan tried to go over the last question alone."", ""We need to go over why the app keeps freezing."", ""Nora could not go over the map until sunset.""]"
Phrasal Verb,set up,/sɛt ʌp/,SET up,সেট আপ,To establish or arrange something,কোনো কিছু স্থাপন বা আয়োজন করা,"[{""phrase"": ""set up a meeting"", ""example_sentence"": ""You can set up a meeting in everyday situations.""}, {""phrase"": ""set up an account"", ""example_sentence"": ""Workers often set up an account during a busy day.""}, {""phrase"": ""set up a new system"", ""example_sentence"": ""Students should learn to set up a new system when it is useful.""}]","[{""phrase"": ""একটি মিটিং আয়োজন করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি মিটিং আয়োজন করা অনুশীলন করে।""}, {""phrase"": ""একটি account আয়োজন করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি account আয়োজন করা অনুশীলন করে।""}, {""phrase"": ""একটি নতুন system আয়োজন করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি নতুন system আয়োজন করা অনুশীলন করে।""}]",arrange; establish; organize; create,dismantle; take down; close down; cancel,A2,"03 - Plans, Decisions & Strategy","In the hall, Hassan decided to set up the chairs in a straight line.","হলে, হাসান চেয়ারগুলো সোজা লাইনে স্থাপন বা আয়োজন করার সিদ্ধান্ত নিয়েছিল।","community hall with chairs being arranged neatly before an event. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Nora helped to set up the chairs before class."", ""We should set up the ideas more clearly."", ""The manager asked them to set up the files on the desk.""]"
