Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
"chairman, chairwoman",(n.),Everyday environments & spaces,The family home,ˈtʃeəmən/ চেয়ারম্যান/ chair-man,The person in charge of a meeting or organization,সভাপতি / চেয়ারম্যান,The chairman opened the annual board meeting.,"A formal boardroom with a person sitting at the head of a long table, professional setting, realistic illustration","[
{
""phrase"": ""board chairman"",
""example_sentence"": ""The board chairman called an emergency meeting to address the financial irregularities discovered in the quarterly report.""
},
{
""phrase"": ""acting chairman"",
""example_sentence"": ""The acting chairman presided over the annual general meeting while the permanent appointment was under consideration.""
},
{
""phrase"": ""chairman of the committee"",
""example_sentence"": ""As chairman of the committee, she was responsible for setting the agenda and ensuring all members had an opportunity to speak.""
},
{
""phrase"": ""elect a chairman"",
""example_sentence"": ""The board members gathered to elect a chairman who would lead the organisation through its planned restructuring.""
}
]","chair, president, head, director","subordinate, member"
flat,"(adj.), (n.)",Everyday environments & spaces,The family home,flæt/ ফ্ল্যাট/ flat,Level and smooth; also a set of rooms on one floor used as a home,সমতল / ফ্ল্যাট (বাসস্থান),She rented a small flat near the university.,"A cozy apartment interior with a window view of the city, warm lighting, realistic digital art","[
{
""phrase"": ""flat roof"",
""example_sentence"": ""The architect proposed a flat roof design to allow for a rooftop garden accessible to all building residents.""
},
{
""phrase"": ""flat rate"",
""example_sentence"": ""The consultancy charges a flat rate for all initial consultations, regardless of the complexity of the case.""
},
{
""phrase"": ""rent a flat"",
""example_sentence"": ""Many young professionals choose to rent a flat in the city centre to reduce their commuting time.""
},
{
""phrase"": ""ground-floor flat"",
""example_sentence"": ""They decided to purchase a ground-floor flat to ensure easy access for their elderly relative.""
}
]","apartment, level, even, smooth","hilly, uneven"
key,"(n.), (adj.)",Everyday environments & spaces,The family home,kiː/ কি/ kee,A metal instrument for locking/unlocking; most important,চাবি / গুরুত্বপূর্ণ,He lost the key to his house.,"A shiny metal key lying on a wooden table, close-up, realistic photo style","[
{
""phrase"": ""key role"",
""example_sentence"": ""Technology plays a key role in improving the efficiency and accuracy of modern healthcare delivery.""
},
{
""phrase"": ""key factor"",
""example_sentence"": ""Employee motivation is a key factor in determining the overall productivity of an organisation.""
},
{
""phrase"": ""spare key"",
""example_sentence"": ""It is advisable to leave a spare key with a trusted neighbour in case of an emergency.""
},
{
""phrase"": ""master key"",
""example_sentence"": ""Only the building manager holds a master key that provides access to all floors and utility rooms.""
}
]","essential, crucial, vital, core","minor, trivial"
light,"(n.), (adj.), (v.)",Everyday environments & spaces,The family home,laɪt/ লাইট/ lyte,Brightness; not heavy; to ignite,আলো / হালকা / জ্বালানো,She turned on the light before reading.,"A warm lamp glowing in a dark cozy room, soft light beams, atmospheric digital painting","[
{
""phrase"": ""bright light"",
""example_sentence"": ""Prolonged exposure to bright light from screens can contribute to eye strain and disrupted sleep patterns.""
},
{
""phrase"": ""natural light"",
""example_sentence"": ""Research suggests that workplaces with ample natural light contribute to greater employee wellbeing and productivity.""
},
{
""phrase"": ""light up"",
""example_sentence"": ""The installation of solar-powered panels will light up the community centre at no ongoing cost to residents.""
},
{
""phrase"": ""street light"",
""example_sentence"": ""The council agreed to replace every ageing street light in the district with energy-efficient LED alternatives.""
}
]","illuminate, bright, glow, radiance","dark, heavy"
lock,"(v.), (n.)",Everyday environments & spaces,The family home,lɒk/ লক/ lok,To fasten with a key; a device for securing doors,তালা দেওয়া / তালা,Always lock the door when you leave the house.,"A close-up of a hand turning a key in a door lock, realistic photo","[
{
""phrase"": ""lock the door"",
""example_sentence"": ""Residents are reminded to lock the door and activate the alarm system before leaving their premises unattended.""
},
{
""phrase"": ""under lock and key"",
""example_sentence"": ""All confidential patient records must be kept under lock and key in accordance with data protection regulations.""
},
{
""phrase"": ""lock away"",
""example_sentence"": ""The laboratory requires researchers to lock away all hazardous chemicals in designated secure cabinets after use.""
},
{
""phrase"": ""combination lock"",
""example_sentence"": ""Each storage unit in the facility is secured with a combination lock to prevent unauthorised access.""
}
]","secure, bolt, fasten, seal","unlock, open"
paint,"(n.), (v.)",Everyday environments & spaces,The family home,peɪnt/ পেইন্ট/ paynt,A colored liquid applied to surfaces; to apply such liquid,রং / রং করা,They painted the walls blue.,"A painter holding a brush applying blue paint to a wall, colorful room, realistic illustration","[
{
""phrase"": ""oil paint"",
""example_sentence"": ""The restorer used traditional oil paint to carefully repair the damaged sections of the seventeenth-century canvas.""
},
{
""phrase"": ""paint a picture"",
""example_sentence"": ""The documentary aims to paint a picture of daily life in a remote community rarely visited by outsiders.""
},
{
""phrase"": ""fresh paint"",
""example_sentence"": ""The smell of fresh paint indicated that the office renovation had only recently been completed.""
},
{
""phrase"": ""paint over"",
""example_sentence"": ""The team decided to paint over the outdated mural and replace it with a design reflecting the company's new values.""
}
]","coat, colour, pigment, dye","strip, remove"
photograph,"(n.), (v.)",Everyday environments & spaces,The family home,ˈfəʊtəɡrɑːf/ ফটোগ্রাফ/ foh-tuh-graf,A picture taken with a camera; to take a picture,ছবি / ফটোগ্রাফ,She took a photograph of the sunset.,"A person holding a camera, photographing a stunning orange sunset over the ocean, realistic","[
{
""phrase"": ""take a photograph"",
""example_sentence"": ""Visitors are welcome to take a photograph of the exhibit, provided they do not use flash photography.""
},
{
""phrase"": ""black-and-white photograph"",
""example_sentence"": ""A black-and-white photograph of the original founders still hangs in the boardroom as a reminder of the institution's history.""
},
{
""phrase"": ""wedding photograph"",
""example_sentence"": ""The couple commissioned a professional photographer to take their wedding photograph in the botanical gardens.""
},
{
""phrase"": ""photograph album"",
""example_sentence"": ""She spent the afternoon organising a digital photograph album to document her research fieldwork in the region.""
}
]","picture, image, snapshot, shot",
rent,"(n.), (v.)",Everyday environments & spaces,The family home,rent/ রেন্ট/ rent,Payment for use of property; to pay for or let property,ভাড়া / ভাড়া দেওয়া,He pays rent every month for his apartment.,"A person handing over cash to a landlord in front of an apartment building, realistic illustration","[
{
""phrase"": ""monthly rent"",
""example_sentence"": ""The monthly rent for commercial premises in the city centre has risen sharply over the past five years.""
},
{
""phrase"": ""rent out"",
""example_sentence"": ""The university decided to rent out its unused conference facilities to generate additional revenue during the summer months.""
},
{
""phrase"": ""pay rent"",
""example_sentence"": ""Tenants are legally obliged to pay rent on the agreed date as specified in their tenancy agreement.""
},
{
""phrase"": ""rent increase"",
""example_sentence"": ""The landlord issued a formal notice of a rent increase, citing higher maintenance costs and property taxes.""
}
]","lease, hire, payment, fee","own, buy"
repair,"(v.), (n.)",Everyday environments & spaces,The family home,rɪˈpeə(r)/ রিপেয়ার/ ri-pair,To fix something that is damaged; the act of fixing,মেরামত করা / মেরামত,The mechanic repaired the car engine.,"A mechanic working under a car hood in a garage, tools nearby, realistic photo style","[
{
""phrase"": ""repair work"",
""example_sentence"": ""Extensive repair work on the bridge is expected to cause significant traffic disruption for several weeks.""
},
{
""phrase"": ""under repair"",
""example_sentence"": ""The main escalator is currently under repair and passengers are advised to use the lift or stairs instead.""
},
{
""phrase"": ""carry out repairs"",
""example_sentence"": ""The maintenance team was contracted to carry out repairs to the roof before the onset of winter.""
},
{
""phrase"": ""repair shop"",
""example_sentence"": ""The vintage timepiece was taken to a specialist repair shop where a trained horologist restored it to full working order.""
}
]","fix, mend, restore, patch","break, damage"
switch,"(n.), (v.)",Everyday environments & spaces,The family home,swɪtʃ/ সুইচ/ swich,A device for turning on/off; to change from one thing to another,সুইচ / পরিবর্তন করা,She flipped the switch to turn on the fan.,"A finger pressing a light switch on a wall, simple clean close-up illustration","[
{
""phrase"": ""light switch"",
""example_sentence"": ""A faulty light switch in the corridor was identified as the source of the intermittent electrical fault.""
},
{
""phrase"": ""switch off"",
""example_sentence"": ""Staff are encouraged to switch off all non-essential equipment at the end of the working day to reduce energy consumption.""
},
{
""phrase"": ""switch over"",
""example_sentence"": ""The organisation plans to switch over to a cloud-based management system by the end of the financial year.""
},
{
""phrase"": ""switch sides"",
""example_sentence"": ""The senator's decision to switch sides during the debate surprised many colleagues who had expected a unified party vote.""
}
]","change, toggle, swap, exchange","keep, maintain"
